식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
도토리묵콩국,156,7.38,3.87,2.2,0.0,257.01,0.0,0.0,0.0
도토리묵말이대전,1300,89.69,6.85,8.48,6.34,3206.03,0.0,1.17,0.0
된장국,166,3.52,8.3,0.32,0.0,44.92,0.0,0.0,0.0
매생이국장흥,500,13.4,10.02,2.85,0.38,1420.3,6.61,0.57,0.1
물회포항,700,55.32,34.43,18.93,19.99,2095.91,120.26,2.81,0.13
미역조랭이떡국,455,65.97,9.28,11.01,0.0,774.18,0.0,0.0,0.0
미역국쇠고기,100,1.19,2.78,0.81,0.0,293.68,6.49,0.31,0.02
미역국홍합,100,1.79,3.03,0.72,0.0,314.41,8.98,0.13,0.0
바지락조개국,550,10.11,22.04,3.11,1.31,1596.17,89.36,0.57,0.02
배추맑은국,150,3.21,4.98,1.77,0.0,200.25,0.0,0.0,0.0
버섯들깨탕,150,17.3,3.83,5.41,0.0,31.6,0.0,0.0,0.0
복지리탕,600,10.33,41.66,2.68,1.37,1349.98,209.78,0.41,0.0
북어국,169,2.59,10.12,1.98,0.0,328.77,0.0,0.0,0.0
삼계탕,1000,40.93,115.29,32.52,0.0,1310.98,471.7,10.76,0.32
새우완자탕,150,9.35,10.01,1.0,0.0,204.29,0.0,0.0,0.0
생선물회,800,82.49,34.3,12.31,52.04,2779.74,101.88,2.02,0.05
선짓국,800,10.97,51.14,9.88,0.07,2518.98,294.04,2.01,0.1
설렁탕,600,12.56,59.58,14.59,0.25,685.78,145.33,5.72,0.4
소고기무국,400,7.76,14.21,3.96,3.48,1067.02,38.43,1.3,0.08
소고기육개장,700,20.83,21.9,18.77,0.54,2853.09,142.71,7.27,0.76
소탕,150,1.95,7.65,5.4,0.0,353.6,0.0,0.6,0.0
순대국,800,17.26,43.52,33.02,0.0,1504.04,246.0,10.98,0.16
아구탕,600,12.76,37.78,4.88,1.84,1863.34,318.93,0.77,0.01
어묵국,600,34.24,18.34,4.51,2.14,2064.71,24.74,1.56,0.02
어탕,150,1.8,12.75,3.15,0.0,485.09,52.56,0.45,0.0
연두부무순냉국,200,6.32,5.92,3.1,0.0,222.7,0.0,0.0,0.0
연포탕,1000,20.19,94.9,9.03,0.23,2337.46,1057.46,1.75,0.08
오리탕,600,20.98,42.01,25.6,4.6,1842.34,204.68,5.7,0.13
오징어국,100,2.37,4.84,0.51,0.67,311.98,67.84,0.11,0.0
오징어물회동해,700,91.19,32.89,9.45,63.89,2715.91,304.76,0.99,0.0
올갱이국괴산,600,13.02,13.66,4.17,1.6,2017.16,85.36,0.8,0.04
우거지국,100,2.31,1.48,0.57,0.55,357.15,0.0,0.07,0.0
우거지해장국,600,13.46,11.92,5.87,2.53,2049.59,22.37,1.19,0.04
우렁된장국,500,19.22,24.62,7.73,3.56,2134.21,105.38,1.11,0.03
육개장닭고기,100,2.72,4.96,1.45,0.13,270.25,22.08,0.34,0.01
육탕,150,0.3,12.6,3.9,0.0,356.94,43.78,1.65,0.15
전복탕,600,15.78,26.78,2.95,1.31,1774.4,291.38,0.62,0.0
조기매운탕,600,17.34,35.1,19.4,4.25,2272.92,274.17,4.78,0.09
짱뚱어탕순천,600,16.63,11.5,8.47,2.36,2050.9,22.22,0.9,0.02
추어탕남원,1000,26.83,22.74,13.16,0.0,2635.78,90.31,1.93,0.0
탕국,250,0.25,13.25,4.25,0.0,656.75,30.12,1.0,0.0
토란국,250,92.0,8.5,6.75,0.0,702.5,19.88,0.75,0.0
해물탕,600,16.59,39.85,4.67,0.81,2046.25,469.49,0.83,0.01
황태해장국,600,5.68,24.5,6.77,1.48,1533.1,150.3,1.1,0.02
감자탕,900,26.88,95.93,52.03,0.76,2631.2,453.8,16.48,0.16
광어매운탕,600,9.13,58.42,16.62,1.42,1799.02,375.05,3.04,0.08
김치찌개,400,11.93,15.07,15.0,3.02,1962.14,25.18,2.76,0.03
내장탕,700,13.59,54.78,30.35,1.18,2336.88,460.59,8.39,0.47
닭볶음탕,300,22.63,37.98,13.94,5.75,1023.02,154.84,4.03,0.08
대구매운탕,600,16.84,57.36,7.21,1.09,1983.9,516.74,0.97,0.03
동태찌개,800,10.44,46.19,15.74,2.61,2575.62,315.41,2.34,0.34
된장찌개,400,13.46,11.5,5.01,1.8,2021.01,11.81,0.78,0.0
두부전골찌개,500,17.09,25.58,16.05,3.45,1650.77,8.85,2.41,0.03
버섯찌개,400,15.43,14.7,5.23,4.45,1293.87,16.55,1.27,0.06
부대찌개,600,47.35,25.96,25.2,3.87,2664.21,82.64,6.79,0.11
소고기샤브샤브,600,14.67,29.13,9.84,2.43,1122.4,76.01,3.71,0.28
순두부찌개,400,7.62,14.43,12.43,1.32,1350.98,80.94,1.79,0.09
알탕,700,11.46,66.68,12.56,0.03,2642.17,1009.53,2.21,0.18
우럭매운탕,600,11.24,52.15,17.03,1.08,1773.88,362.77,2.97,0.08
장어탕,250,7.37,10.69,8.86,0.56,648.3,89.19,1.68,0.06
전골곱창전골,100,4.86,6.93,4.55,0.38,296.61,75.53,1.38,0.08
청국장찌개,400,10.41,22.4,15.59,1.0,1794.84,3.83,2.3,0.0
추어탕,700,20.29,24.59,17.96,0.0,2046.47,106.19,1.55,0.1
콩비지찌개,400,17.87,19.37,10.96,1.28,1287.09,24.05,1.96,0.02
해산물샤브샤브,110,5.83,12.15,6.26,0.0,143.29,0.0,0.0,0.0
금태찜,240,7.58,10.92,0.7,0.0,304.37,0.0,0.0,0.0
단호박두부찜,57,5.29,2.09,1.64,0.0,220.04,0.0,0.0,0.0
단호박새우찜,215,38.57,11.07,3.57,0.0,395.0,0.0,0.0,0.0
달걀찜,250,4.31,17.35,12.65,0.41,835.48,489.36,3.94,0.05
닭갈비,400,44.9,45.92,25.81,21.19,1535.83,193.4,6.0,0.15
닭고기편육,132,8.26,19.3,15.46,0.0,236.9,0.0,0.0,0.0
대구찜,500,24.66,51.69,7.89,5.68,1898.68,263.33,1.13,0.04
대하찜,125,2.39,20.41,1.83,0.0,177.2,0.0,0.0,0.0
도미찜,100,0.5,23.0,3.5,0.0,839.96,99.01,0.9,0.0
동태찜,500,25.77,50.94,9.73,5.72,1985.59,284.21,1.56,0.12
돼지고기수육,300,10.31,67.08,99.6,0.25,416.68,133.91,36.97,0.33
등갈비찜돼지,450,57.4,72.06,49.24,24.13,2395.17,199.57,16.1,0.27
매운갈비찜대구중구,300,23.72,61.31,19.7,10.73,1138.51,163.29,7.98,0.47
문어숙회,80,0.72,14.88,0.48,0.0,208.33,140.11,0.16,0.0
민어찜,100,0.0,21.5,5.9,0.0,1089.43,97.77,1.7,0.0
병어찜,100,0.2,18.9,11.5,0.0,650.98,71.92,3.6,0.1
북어찜,100,11.99,18.7,3.78,4.25,600.66,102.07,0.6,0.04
